Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Air Tebu,5.0,48.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,4.0,4.0,1.0
Amplang Blitar,71.5,60.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,200.0,3.0,2.0
Bandrek,0.0,0.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.0,5.0,6.0,7.0,1.0
Bengkoang,13.0,402.0,12,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.02,8.0,10.0,5.0,3.0
Beras Dan Sayuran,89.0,600.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,24.0,4.0,1.0
Berdagang Ikan,30.0,148.75,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.15,,25.0,3.0,1.0
BIBIT KOPI,153.0,160.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,1.0,10.0,150.0,7.0,2.0
Bibit Lele,99.0,43.2,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.15,5.0,50.0,2.0,1.0
Bibit Pepaya,47.0,117.0,2,"Pertanian, Kehutanan, dan Perikanan",2.0,0.0,0.2,10.0,15.0,3.0,1.0
Bibit Tanaman,395.0,250.0,10,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.65,10.0,113.0,5.0,2.0
Budidaya Ayam Siam,9.0,13.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.4,3.0,0.0,3.0,1.0
Budidaya Ikan,873.0,26.0,13,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.2,0.0,800.0,8.0,2.0
Budidaya Ikan Gurame,20.0,250.0,0,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,8.0,50.0,4.0,1.0
Budidaya Ikan Lele,7.45,17.78,1,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.12,10.0,12.0,3.0,2.0
Budidaya Ikan Nila Merah,1.17,9.51,4,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.05,7.0,85.0,6.0,2.0
Budidaya Ikan Nila Merah,1.01,9.51,4,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.15,0.0,66.0,5.0,1.0
Budidaya Jamur,56.0,135.6,5,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.25,0.0,52.0,6.0,2.0
Budidaya Jamur Merang,16.25,33.6,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.5,0.0,110.0,7.0,2.0
Budidaya Jamur Tiram,8.04,15.12,0,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.75,,36.0,5.0,1.0
Budidaya Lembu,23.0,340.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.3,5.0,10.0,4.0,1.0
Bunga,25.9,100.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,14.0,5.0,1.0
DAGANG IKAN,75.5,36.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,5.0,75.0,5.0,2.0
Depot Air,0.0,0.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.0,10.0,12.0,8.0,1.0
FLOWER,110.0,280.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,0.0,0.0,3.0,0.0
Giling Bumbu,17.0,200.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.15,5.0,0.0,3.0,1.0
HORTIKULTURA,1.492,360.0,7,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.7,0.0,940.0,8.0,3.0
Ikan Mas,98.0,43.5,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.1,6.0,50.0,3.0,1.0
JAGUNG,5.3,68.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,5.0,2.0,1.0
