Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Air Tebu,5,48,2,2011,?pm=RpTBuwFXpk0U+svpbtrrNw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %",Sedang,"Rp. 5,00 Juta","Rp. 48,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 4,00 Juta",4
Amplang Blitar,"71,5",60,3,2014,?pm=rjoizvPnwBFrInEOmzGGCg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 71,50 Juta","Rp. 60,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 200,00 Juta",3
Bandrek,0,0,1,2012,?pm=6qSIXAe2FXHSkx4JaHGCig==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Tinggi,"Rp. 0,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 5,00 Juta","Rp. 6,00 Juta",7
Bengkoang,13,402,12,2012,?pm=PkfKI5UErkBEkyizF7P8RQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,12,Distributor,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 13,00 Juta","Rp. 402,00 Juta",2 %/Tahun,"Rp. 8,00 Juta","Rp. 10,00 Juta",5
Beras Dan Sayuran,89,600,3,2011,?pm=NlDG+tr8uWSJBncTyO62YA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 89,00 Juta","Rp. 600,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 24,00 Juta",4
Berdagang Ikan,30,"148,75",1,2011,?pm=DriWxYVhU2QNWMNEHIJ0ZA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 30,00 Juta","Rp. 148,75 Juta",15 %/Tahun,"Rp. 8,50 Juta","Rp. 25,00 Juta",3
Bertani Sayur,167,144,2,2010,?pm=MLR5jWNjgnMVfGZf3Va7Ww==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,-,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 167,00 Juta","Rp. 144,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 286,00 Juta",5
BIBIT KOPI,153,160,1,2013,?pm=RhVF4Ij1aoL12wNn/oqXNw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 153,00 Juta","Rp. 160,00 Juta",100 %/Tahun,"Rp. 10,00 Juta","Rp. 150,00 Juta",7
Bibit Lele,99,"43,2",1,2012,?pm=tOCr2VXlDABcYyZTmpgTcA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 99,00 Juta","Rp. 43,20 Juta",15 %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",2
Bibit Pepaya,47.000.000,117,2,2011,?pm=wWAwT15VJ6TyNnB43q3xkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 47.000.000,00 Juta","Rp. 117,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",3
Bibit Tanaman,395,250,10,2012,?pm=MZwK8MxMo25W9diH4/ZCeA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,10,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 395,00 Juta","Rp. 250,00 Juta",65 %/Tahun,"Rp. 10,00 Juta","Rp. 113,00 Juta",5
Buah Semangka,"14,98",126,2,2014,?pm=Zrgj3eC/x/3/G1jx+2lsEA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 14,98 Juta","Rp. 126,00 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 14,90 Juta",2
Budidaya Ayam Siam,9,13,1,2011,?pm=JB/zE1iraPBEDn+yfD5RIg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 9,00 Juta","Rp. 13,00 Juta",40 %/Tahun,"Rp. 3,00 Juta","Rp. 0,00 Juta",3
Budidaya Ikan,873,26,13,2011,?pm=tEHbkU1NOS7DiSRSsrs7QQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,13,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %",Sedang,"Rp. 873,00 Juta","Rp. 26,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 800,00 Juta",8
Budidaya Ikan,237,384,1,2015,?pm=IAwbU7dvnhY1J2/teMxdbg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 237,00 Juta","Rp. 384,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 216,00 Juta",1
Budidaya Ikan Gurame,20,250,0,2011,?pm=zSou+5z3yD2N51IEIwxY3Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 20,00 Juta","Rp. 250,00 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 50,00 Juta",4
