Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Rental,19,108,3,2013,?pm=8Yob9An0UV+iUKUzWZSxww==&mp=fOhzApotY5QnAtxxXvjAfA==,"Kesenian, Hiburan dan Rekreasi",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 19,00 Juta","Rp. 108,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",4
FOTO DIGITAL,"54,6",83,2,2011,?pm=d+9fJPDxZDyLGJu0pdYOhQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 54,60 Juta","Rp. 83,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 10,00 Juta",6
Pedagang Kerajinan,138,30,1,2012,?pm=Iu8wjvi6TMTyaxYQZp8W9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Tinggi,"Rp. 138,00 Juta","Rp. 30,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 140,00 Juta",3
Production House,460,480,3,2011,?pm=kUB8fG7NVYN99Yyfm5kBqg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi",Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Sedang,"Rp. 460,00 Juta","Rp. 480,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 405,00 Juta",7
PS,"59,5",37,0,2011,?pm=+pympYWjvBaBgL6qfNbfVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi",Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %",Sedang,"Rp. 59,50 Juta","Rp. 37,00 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 40,00 Juta",5
Kerajinan Khas Kalimantan,855,120,5,2014,?pm=vjyhYkYx3JSEpS7LjCP6HQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Kesenian, Hiburan dan Rekreasi",Perorangan,5,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Sedang,"Rp. 855,00 Juta","Rp. 120,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 380,00 Juta",4
Rental PS,38,90,5,2012,?pm=P98STvTxw5Xnd12QQ7aRBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi",Perorangan,5,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 38,00 Juta","Rp. 90,00 Juta",100 %/Tahun,"Rp. 10,00 Juta","Rp. 80,00 Juta",6
Galeri,"12,5",60,0,2012,?pm=8OGPo5PJOhdIvlWCr1pF8w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi",Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 12,50 Juta","Rp. 60,00 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 20,00 Juta",3
Taman,169,0,2,2012,?pm=IaKjoVRTLQMHrIu/Np4vWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi",Perorangan,2,Retail dan Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Tinggi,"Rp. 169,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 5,00 Juta","Rp. 20,00 Juta",6
Kerajinan,5,"10,91",3,2015,?pm=VlMxXBDUtNGIYGsX5cxTEQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Kesenian, Hiburan dan Rekreasi",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 5,00 Juta","Rp. 10,91 Juta",- %/Tahun,"Rp. 7,50 Juta","Rp. 100,00 Juta",8
