"Kostum Olahraga, Alat Olahraga",722,185,2,2012,?pm=+dnkBJjtZRw3gQK9HblQKw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 722,00 Juta","Rp. 185,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 472,00 Juta",5
Jual Obat-obatan,480,249,2,2012,?pm=LUhZ/ZvW4M2m+O0qETpFIA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 480,00 Juta","Rp. 249,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 310,00 Juta",7
Bengkel Motor,546,60,1,2012,?pm=FKrMrf1fPlbyzb1GEuMeGA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 546,00 Juta","Rp. 60,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 300,00 Juta",7
Bengkel Mobil,959,345,2,2012,?pm=ocRUQ7up7WlbAhMCH/vxsA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 959,00 Juta","Rp. 345,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 799,00 Juta",7
Counter,162,48,1,2012,?pm=JNKZwd6SwSVlMb+jjJ/+Ng==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 162,00 Juta","Rp. 48,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 150,00 Juta",7
Kios,716,228,2,2012,?pm=ChERsdwxBFL1NMptjJ0WTQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 716,00 Juta","Rp. 228,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 526,00 Juta",7
GORDEN ,"2.950,18",5.100,6,2011,?pm=EJGOnbQQaxjkxaYhFr3UVg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,6,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Rendah,"Rp. 2.950,18 Juta","Rp. 5.100,00 Juta",10 %/Tahun,"Rp. 2,80 Juta","Rp. 582,00 Juta",7
KEDAI SAMPAH,"86,99","171,1",1,2011,?pm=s7fO6v09RphtVi0WMpmRvw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Usaha Dagang (UD),1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 86,99 Juta","Rp. 171,10 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 37,00 Juta",4
PERBAIKAN RADIATOR,"37,61",37,1,2011,?pm=FbEjIKeoGpjP8Uaym4o8XA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 37,61 Juta","Rp. 37,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 12,00 Juta",5
Dagang Sembako,745,900,7,2008,?pm=6NjHjM74rnyC6x1LvsoiDg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Usaha Dagang (UD),7,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 745,00 Juta","Rp. 900,00 Juta",10 %/Tahun,"Rp. 0,00 Juta","Rp. 435,00 Juta",8
Kios Sembako ,67,199,3,2012,?pm=18Ra+p37koex18ssSxujmQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 67,00 Juta","Rp. 199,00 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 15,00 Juta",6
