Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Pangkas Rambut Hidayah,Pangkas Rambut,60,48,2,2012,"['_pengusahadetail(""?pm=GmYYJs5qM2oHXekbqxOy3Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Pangkas Rambut Hidayah"")']"
 Victory Salon ,Jasa Salon ,20,132,3,2012,"['_pengusahadetail(""?pm=hvEV7a2nem/YuChEhgyE/A==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Victory Salon "")']"
 Sari Tailor,Penjahit,54,40,6,2009,"['_pengusahadetail(""?pm=cgkTFQZe76Qkof6BhesbIg==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Sari Tailor"")']"
 DIAN  KURSUS ,KURSUS MENJAHIT ,"15,86","14,4",1,2011,"['_pengusahadetail(""?pm=08Irr2EClpa2pSqBWCWaOg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""DIAN  KURSUS "")']"
 PAY BK,PLAT BK,"68,71",87,2,2011,"['_pengusahadetail(""?pm=m4DOBnazufQFCWdQYvL0gQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PAY BK"")']"
 Penjahit HUDA,Jahit Pakaian,"14,5",36,1,2010,"['_pengusahadetail(""?pm=iE7xxiL6YSQQ6P4ea6v3ng==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Penjahit HUDA"")']"
 Pangkas Rambut Taulen,Jasa Pangkas Rambut,"10,08","27,9",1,2011,"['_pengusahadetail(""?pm=KVsicvhFrZ7JZo0adI1Kkg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Pangkas Rambut Taulen"")']"
 Salon Tonno,Pangkas Rambut,"68,5",90,1,2013,"['_pengusahadetail(""?pm=gQq6K+zSiYYdYlz0K53mRw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Salon Tonno"")']"
 Sunshinecitylight,Fotografi,"185,85",84,3,2013,"['_pengusahadetail(""?pm=8XJwY+loX1U2HR9pXfR2nA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sunshinecitylight"")']"
 Pangkas Rambut Kaganangan,Pangkas Rambut,"55,6",36,1,2013,"['_pengusahadetail(""?pm=DtMvNUvxtEeIjOLTvbtvgw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Pangkas Rambut Kaganangan"")']"
 Riyan Tailor,Konveksi(penjahit),9,"44,4",2,2010,"['_pengusahadetail(""?pm=beRgqzypK6vs8yy36F9H1g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Riyan Tailor"")']"
 Penjahit Camel,Penjahit,"18,5",90,3,2013,"['_pengusahadetail(""?pm=zVreIGKTSdMUsZGDegBC+w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Camel"")']"
 Dinda Salon,Salon,"2,5",24,1,2013,"['_pengusahadetail(""?pm=/L91VCACxNuLm+Qg29hXnQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Dinda Salon"")']"
 Robana Tailor,Penjahit,"475,8","13,5",1,2013,"['_pengusahadetail(""?pm=IIsNJKYqTR6Zn3Iw9wlo5Q==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Robana Tailor"")']"
 Permak Levis Artomoro,Jasa Jahit,38,144,3,2010,"['_pengusahadetail(""?pm=FS1gfR+64yQYEYTFofxH2g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Permak Levis Artomoro"")']"
 Siti Taylor,Penjahit,68,"29,3",1,2013,"['_pengusahadetail(""?pm=I/n9Nh7BGjm7OSWdckVHHQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Siti Taylor"")']"
 Servis Jok Penjahit Pria & Wanita,Servis Jok dan Jahit,"7,5","28,8",1,2011,"['_pengusahadetail(""?pm=bl9TlqoqPKS6g3GB+0Xzow==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Servis Jok Penjahit Pria & Wanita"")']"
 Tailor Mira Colection,Tailor,29,204,3,2012,"['_pengusahadetail(""?pm=cL9FSh1Sggxzm2vH00GHvg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Tailor Mira Colection"")']"
 Salon Umi,Salon Umi,"31,8",204,1,2011,"['_pengusahadetail(""?pm=SxCoXIY9tAsDLPOfMyDCXw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Salon Umi"")']"
 Pangkas Rambut Sama Jaya,Pangkas Rambut,102,180,2,2012,"['_pengusahadetail(""?pm=Q3fMVzLJOyUF9jYOHhD7zw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Pangkas Rambut Sama Jaya"")']"
 Penjahit Saipul,Jahit Pakaian,"15,5",84,1,2010,"['_pengusahadetail(""?pm=5Q7tfCoSKR1rnFneISolPg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Penjahit Saipul"")']"
 DJava Net,Warnet,"130,75",60,1,2010,"['_pengusahadetail(""?pm=J+JmpytzgZdRgmE2H6uhlg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""DJava Net"")']"
 Bengkel Las Roni,"Usaha Las Pagar, Kanopi",14,44,2,2012,"['_pengusahadetail(""?pm=zvX6EJRxmE+dsCqrsjvbgA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Las Roni"")']"
 Lestari Glass,Ukiran Kaca,19,35,2,2012,"['_pengusahadetail(""?pm=Sx4drn/jQvfl7Qsm/ix53g==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Lestari Glass"")']"
 Bengkel Las Oki Muba,Bengkel Las,"46,5",204,2,2010,"['_pengusahadetail(""?pm=xqCSO5fGuY3fpJlQvUoTGA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Bengkel Las Oki Muba"")']"
 Penjahit Sahabat,Penjahit,"6,5",180,4,2013,"['_pengusahadetail(""?pm=6QMsNfWVQ4RXwZOuV7I1hg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Sahabat"")']"
" Penjahit Celana ""Anhar""",Jahit Celana,"18,6","86,4",1,2013,"['_pengusahadetail(""?pm=AMLNpJE78v0J0j/L0DoQHw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Celana ""Anhar"""")']"
 UMMI PONSEL,SERVICE HP,425,138,2,2012,"['_pengusahadetail(""?pm=tMAJnqSJ33YXsTdzuDae9A==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""UMMI PONSEL"")']"
