Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Depot Air Minum Samuel,Depot Air Minum,635,348,2,2012,?pm=U8qtIEp1oxdo3qPQ4hr08g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Foto Copy Kencana Mulia,Foto Copy,582,66,3,2012,?pm=BPP4H5flZTkJlSlqstHqyg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Muhammad Ali Makmur,Keripik Pisang,75,283,5,2012,?pm=rFb9ZcNmrqz+JFi7bSHF/g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Ukhsinun,Pembuatan Sangkar Burung,62,54,3,2009,?pm=khOYb9P4vNoC3ISc2kyxEQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Caping,Coping,79,52,6,2009,?pm=Ze4RxmjrnXrR6Uf5hM8KtA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Siti Sangadah,Bata,24,79,6,2009,?pm=MdUw9vJXCW/MzvsLIVtLkQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Caping,Caping,66,80,4,2009,?pm=nHjoUVXpE5kxQ2QnDSvvFQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Adi Jaya Konveksi,Topi,127,68,4,2009,?pm=0NMdhorKtsa3f9+SN++ZQw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Sani,Percetakan,"128,5",285,1,2008,?pm=D9ztW2yUemdXc8/s64kVCA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Ratna Bunga,Manik,139.100.000,24.600.000,1,2013,?pm=z3rBG7RpiFrWETNQ1gifxA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Andi Nurhayati,Tenun,164.200.000,59.000.000,1,2013,?pm=+Ue5dDFchIsQhg+e3VFbXA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Srimarsida,Tenun,116.950.000,52.000.000,1,2013,?pm=InCul0835rm6//zQusdC7w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sitti Paisa,Tenun,99.700.000,52.000.000,1,2013,?pm=n4Bvy9ELgvThffJhXZchxw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Marwiyah,Tenun,127.650.000,45.600.000,1,2013,?pm=PWIzN6Q4jIOa4mzGe2NZCg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Mulyana,Tenuninda,152.300.000,42.300.000,2,2013,?pm=pLV6HYfFf6wpbp3+DD+zqQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Jumiati,Tenun,100.800.000,85.000.000,1,2013,?pm=iXKzUOu90UBTj3ppdrqZhg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Hernawati,Tenun,109.400.000,29.500.000,1,2013,?pm=UEfFS9LQSCR3XGJMiREovQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Andi Risma,Manik,147.860.000,41.700.000,1,2013,?pm=oo5YCCn4IYhwkmZMxuX9Bg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Erni Susanti,Tenun,132.000.000,45.600.000,1,2013,?pm=vE8hxyaz95uBgkF82aZM4g==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Murni,Tenun,144.000.000,29.500.000,1,2013,?pm=Ndjf0He2Jb923MPOxJezqA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Inaga,Tenun,220.310.000,44.920.000,1,2913,?pm=hlnb6EX7WqhnsLHWb2XUdQ==&mp=WvU08jXGlSR1DPaNMExNaw==,Industri Pengolahan
 Masniati,Tenun,135.520.000,33.800.000,3,2013,?pm=Rx/FxAweGphdaOUiD5yLoQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Badaruddin,Tenun,168.550.000,56.100.000,3,2013,?pm=B3NauppFZFSyqkzU7A9LnA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Suriani,Manik,171.900.000,45.300.000,1,2013,?pm=yn83MYAmTcjI2tV8wzIf/A==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Bung Rosi,Tenun,159.800.000,66.000.000,3,2013,?pm=+rmh2VjIEIMmSMPiqQQQcg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Rahma,Tenun,128.700.000,29.500.000,1,2013,?pm=ROqxGAI8E2lWPEpq9VvIXA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Anirah,TENUN,109.700.000,66.000.000,1,2013,?pm=B4vOqktcDVqar3hCauhZOQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Basnawati,Manik,83.550.000,29.400.000,1,2013,?pm=0ZtUU42Qwhj+Y7dcMD6uaA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Fetty,Manik,15.375.000,43.400.000,1,2013,?pm=eFXIVOGG53lb6nwCz5g4WA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Duha,Manik,150.085.000,29.220.000,1,2013,?pm=//+VVirvaWpZPOjjl2ig4w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Samsinar,Manik,89.740.000,26.800.000,1,2013,?pm=OIg77vKJCcCySAyrpVNUQw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sitti,Manik,107.000.000,22.800.000,1,2013,?pm=2iq/Mig1HT7BJqXKWJ0IMw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Vivi Sarniah,Manik,8.500.000,25.200.000,1,2013,?pm=wJGK4G2i1xqBjRq9jdRmtQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Mas Duha,Manik,100.000.000,24.400.000,1,2013,?pm=GQ+ioRPZrK03C/4mF6uelA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Harimah,Tenun,151.930.000,47.600.000,3,2013,?pm=0XKXjaZh1aHXsQk6bdL40w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Rafika,Tenun,178.250.000,45.200.000,1,2013,?pm=IVNMLXPj+oocJ5pazGc0UQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 JAWARIAH,Tenun,156.000.000,47.400.000,1,2013,?pm=/TOvOWQ7aZLSI6hXfmnHSQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Sumarni,Tenun,160.200.000,29.100.000,1,2013,?pm=eliy3vHw2kC9FlOkcwWMJw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Mulyana,Tenun,166.400.000,33.000.000,1,2013,?pm=cqxkH3JVijPfgoy4E8ICjg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Makmur Jaya,Pembuatan Krupuk,103,102,2,2012,?pm=8DsrhB8p9xJlCKcRWzjK9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 UD Intan Karya,Pengolaha Kayu,"33,5",180,2,2010,?pm=5HGNwqiARKufB5x/8RlXmA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 Rama Sadel,Jasa Kulit Motor,"54,5","10,4",2,2011,?pm=J/luhW2c1/HN25i+AhzGTQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Industri Mie Ayam,Industri Mie Ayam,5,16,2,2011,?pm=oEb3fiB5dtCl5Q83FLBLmA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Kerupuk Istimewa,Industri Kerupuk,"159,7",315,10,2011,?pm=BJqDVw3cLur9Ne9GMSWMOw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Gethuk Lindri Pak Sumain,Produksi Gethuk,"12,4",216,3,2011,?pm=YGvScOir86W/HTbaJnoxOQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Renbow Cake,Industri,"3,03",36,2,2013,?pm=Hj9mq52+QHfiq10EDsnBtg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 UD Anak Tunggal Jepara,Kusen Pintu Dan Cendela,"42,5",240,2,2010,?pm=1rd7HFpflkGqAvs9rFAXLA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 UD Sinar Jaya,"Kusen,pintu",90,420,3,2010,?pm=AqdGtk4OqoeAEJiTp7lvcA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 TOKO H.AHMAD,PERABOT DAPUR,"6,5",90,6,2011,?pm=QI2V3/7TwEFChC0VVhMQOg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Habibah,Tenun,179.530.000,88.800.000,1,2013,?pm=H83bdacQFQQbfeufHtCsFQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Keripik Gigik,Pengolahan Singkong,12,466,3,2013,?pm=erP6U7v8t3jkvHSjpPtY1w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Indo Tang,Tenun,101.700.000,38.500.000,1,2013,?pm=RTEySe3e4BByeFOuK/COlg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 Aspianah,Manik,156.950.000,24.600.000,1,2013,?pm=q4pxFSt+kipjNetkMYzNWA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 UD Vino Jaya,"Kusen ,pintu",57,264,1,2010,?pm=nebSdZDJOzLI/9BWUDiBlA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 UD Karya Barokah,Kusen Pintu,"67,5",192,2,2010,?pm=yJWPJv0pJ1eIGj6B76yr1Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 UD Tunas Karya,"Kusen Pintu,cendela","52,5",260,2,2010,?pm=INMALkLffHzlnU51wTqcvA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
